memory_model,example_id,sessions,attempts,generated_implicit_pref_tokens,verify_candidate_implicit_pref_tokens,refine_prev_implicit_pref_tokens,generated_plus_verify_plus_refine_tokens,final_session_implicit_pref_tokens_sum
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0004,2,2,45,45,0,90,45
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0038,5,5,125,125,0,250,125
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0037,5,5,117,117,0,234,117
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0003,6,6,204,204,0,408,204
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0032,7,7,174,174,0,348,174
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0009,6,6,202,202,0,404,202
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0014,6,6,154,154,0,308,154
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0008,5,5,99,99,0,198,99
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0029,8,8,243,243,0,486,243
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0036,5,6,129,129,0,258,100
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0039,6,6,196,196,0,392,196
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0030,10,10,310,310,0,620,310
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0028,9,9,259,259,0,518,259
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0021,9,9,223,223,0,446,223
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0035,6,7,221,221,41,483,180
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0045,5,5,139,139,0,278,139
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0015,10,11,279,279,26,584,253
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0031,10,10,297,297,0,594,297
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0027,7,9,238,238,37,513,201
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0044,8,8,282,282,0,564,282
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0046,6,6,101,101,0,202,101
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0047,6,6,202,202,0,404,202
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0041,10,10,272,272,0,544,272
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0020,10,12,320,320,53,693,267
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0050,8,8,209,209,0,418,209
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0022,9,14,231,231,50,512,181
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0049,8,8,212,212,0,424,212
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0025,8,12,318,318,103,739,215
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0052,9,9,255,255,0,510,255
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0055,8,9,300,300,38,638,262
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0059,8,8,268,268,0,536,268
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0042,8,9,212,212,23,447,189
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0062,7,7,164,164,0,328,164
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0072,6,6,183,183,0,366,183
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0048,7,11,192,192,37,421,139
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0054,10,10,367,367,0,734,367
