method,source,memory_model,context_type,query_variant,pref_type,action_model_raw,action_model_base,reasoning_effort,prompt_name,file_name,group_key,query_count,status,error,tp,fp,fn,precision,recall,f1,parsing_fail_count,output_path,rel_path
ours_memory,api,gpt-4o-mini,memory_api,singleturn,hard,gpt-5_high,gpt-5,high,implicit_zs,0328_fixed_400_rerun.json,ours_memory/output/singleturn/api/gpt-4o-mini/memory_api/hard/gpt-5_high/implicit_zs,400,ok,,248,316,152,0.4397163120567376,0.62,0.5145228215767635,9,/data/minseo/experiments4/extended_schema/ours_memory/output/singleturn/api/gpt-4o-mini/memory_api/hard/gpt-5_high/implicit_zs/0328_fixed_400_rerun.json,ours_memory/output/singleturn/api/gpt-4o-mini/memory_api/hard/gpt-5_high/implicit_zs/0328_fixed_400_rerun.json
ours_memory,api,gpt-4o-mini,memory_api,singleturn,hard,gemini-3-flash-preview_high,gemini-3-flash-preview,high,implicit_zs,0327_fixed_400_rerun.json,ours_memory/output/singleturn/api/gpt-4o-mini/memory_api/hard/gemini-3-flash-preview_high/implicit_zs,400,ok,,252,358,148,0.4131147540983607,0.63,0.499009900990099,1,/data/minseo/experiments4/extended_schema/ours_memory/output/singleturn/api/gpt-4o-mini/memory_api/hard/gemini-3-flash-preview_high/implicit_zs/0327_fixed_400_rerun.json,ours_memory/output/singleturn/api/gpt-4o-mini/memory_api/hard/gemini-3-flash-preview_high/implicit_zs/0327_fixed_400_rerun.json
vanilla_llm,api,,diag-apilist,singleturn-query,hard,gemini-3-flash-preview-high,gemini-3-flash-preview,high,imp-zs,0328_fixed_400_rerun.json,vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gemini-3-flash-preview-high/imp-zs,400,ok,,230,454,170,0.3362573099415205,0.575,0.42435424354243545,2,/data/minseo/experiments4/extended_schema/vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gemini-3-flash-preview-high/imp-zs/0328_fixed_400_rerun.json,vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gemini-3-flash-preview-high/imp-zs/0328_fixed_400_rerun.json
vanilla_llm,api,,diag-apilist,singleturn-query,hard,gemini-3-flash-preview-medium,gemini-3-flash-preview,medium,imp-zs,0328_fixed_400_rerun.json,vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gemini-3-flash-preview-medium/imp-zs,400,ok,,219,450,181,0.3273542600896861,0.5475,0.40972871842843783,1,/data/minseo/experiments4/extended_schema/vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gemini-3-flash-preview-medium/imp-zs/0328_fixed_400_rerun.json,vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gemini-3-flash-preview-medium/imp-zs/0328_fixed_400_rerun.json
vanilla_llm,api,,diag-apilist,singleturn-query,hard,gpt-5-minimal,gpt-5,minimal,imp-zs,0327_fixed_400_rerun.json,vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gpt-5-minimal/imp-zs,400,ok,,254,742,146,0.25502008032128515,0.635,0.3638968481375358,42,/data/minseo/experiments4/extended_schema/vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gpt-5-minimal/imp-zs/0327_fixed_400_rerun.json,vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gpt-5-minimal/imp-zs/0327_fixed_400_rerun.json
vanilla_llm,api,,diag-apilist,singleturn-query,hard,gemini-3-flash-preview-minimal,gemini-3-flash-preview,minimal,imp-zs,0327_fixed_400_rerun.json,vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gemini-3-flash-preview-minimal/imp-zs,400,ok,,133,473,267,0.21947194719471946,0.3325,0.2644135188866799,0,/data/minseo/experiments4/extended_schema/vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gemini-3-flash-preview-minimal/imp-zs/0327_fixed_400_rerun.json,vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gemini-3-flash-preview-minimal/imp-zs/0327_fixed_400_rerun.json
vanilla_llm,api,,diag-apilist,singleturn-query,hard,gemini-3-flash-preview-low,gemini-3-flash-preview,low,imp-zs,0328_fixed_400_rerun.json,vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gemini-3-flash-preview-low/imp-zs,400,ok,,118,422,282,0.21851851851851853,0.295,0.251063829787234,0,/data/minseo/experiments4/extended_schema/vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gemini-3-flash-preview-low/imp-zs/0328_fixed_400_rerun.json,vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gemini-3-flash-preview-low/imp-zs/0328_fixed_400_rerun.json
langmem,api,gpt-4o-mini,memory_api,singleturn,hard,gemini-3-flash-preview_minimal,gemini-3-flash-preview,minimal,implicit_zs,0329_fixed_400_rerun.json,langmem/output/singleturn/api/gpt-4o-mini/memory_api/hard/gemini-3-flash-preview_minimal/implicit_zs,400,ok,,80,353,320,0.18475750577367206,0.2,0.1920768307322929,21,/data/minseo/experiments4/extended_schema/langmem/output/singleturn/api/gpt-4o-mini/memory_api/hard/gemini-3-flash-preview_minimal/implicit_zs/0329_fixed_400_rerun.json,langmem/output/singleturn/api/gpt-4o-mini/memory_api/hard/gemini-3-flash-preview_minimal/implicit_zs/0329_fixed_400_rerun.json
langmem,api,gpt-4o-mini,memory_api,singleturn,hard,gpt-5_minimal,gpt-5,minimal,implicit_zs,0329_fixed_400_rerun.json,langmem/output/singleturn/api/gpt-4o-mini/memory_api/hard/gpt-5_minimal/implicit_zs,400,ok,,16,32,384,0.3333333333333333,0.04,0.07142857142857142,361,/data/minseo/experiments4/extended_schema/langmem/output/singleturn/api/gpt-4o-mini/memory_api/hard/gpt-5_minimal/implicit_zs/0329_fixed_400_rerun.json,langmem/output/singleturn/api/gpt-4o-mini/memory_api/hard/gpt-5_minimal/implicit_zs/0329_fixed_400_rerun.json
mem0,api,,memory_api,singleturn,hard,gpt-5_minimal,gpt-5,minimal,implicit_zs,0329_fixed_400_rerun.json,mem0/output/singleturn/api/memory_api/hard/gpt-5_minimal/implicit_zs,400,ok,,3,4,397,0.42857142857142855,0.0075,0.01474201474201474,393,/data/minseo/experiments4/extended_schema/mem0/output/singleturn/api/memory_api/hard/gpt-5_minimal/implicit_zs/0329_fixed_400_rerun.json,mem0/output/singleturn/api/memory_api/hard/gpt-5_minimal/implicit_zs/0329_fixed_400_rerun.json
mem0,api,,memory_api,singleturn,hard,gemini-3-flash-preview_minimal,gemini-3-flash-preview,minimal,implicit_zs,0329_fixed_400_rerun.json,mem0/output/singleturn/api/memory_api/hard/gemini-3-flash-preview_minimal/implicit_zs,400,ok,,0,0,400,0.0,0.0,0.0,400,/data/minseo/experiments4/extended_schema/mem0/output/singleturn/api/memory_api/hard/gemini-3-flash-preview_minimal/implicit_zs/0329_fixed_400_rerun.json,mem0/output/singleturn/api/memory_api/hard/gemini-3-flash-preview_minimal/implicit_zs/0329_fixed_400_rerun.json
