method,source,memory_model,context_type,query_variant,pref_type,action_model_raw,action_model_base,reasoning_effort,prompt_name,file_name,group_key,query_count,status,error,tp,fp,fn,precision,recall,f1,parsing_fail_count,output_path,rel_path
ours_memory,api,gpt-4o-mini,memory_api,singleturn,hard,gpt-5_high,gpt-5,high,implicit_zs,0328_fixed_400_rerun.json,ours_memory/output/singleturn/api/gpt-4o-mini/memory_api/hard/gpt-5_high/implicit_zs,400,ok,,248,316,152,0.4397163120567376,0.62,0.5145228215767635,9,/data/minseo/experiments4/extended_schema/ours_memory/output/singleturn/api/gpt-4o-mini/memory_api/hard/gpt-5_high/implicit_zs/0328_fixed_400_rerun.json,ours_memory/output/singleturn/api/gpt-4o-mini/memory_api/hard/gpt-5_high/implicit_zs/0328_fixed_400_rerun.json
ours_memory,api,gpt-4o-mini,memory_api,singleturn,hard,gemini-3-flash-preview_high,gemini-3-flash-preview,high,implicit_zs,0327_fixed_400_rerun.json,ours_memory/output/singleturn/api/gpt-4o-mini/memory_api/hard/gemini-3-flash-preview_high/implicit_zs,400,ok,,252,358,148,0.4131147540983607,0.63,0.499009900990099,1,/data/minseo/experiments4/extended_schema/ours_memory/output/singleturn/api/gpt-4o-mini/memory_api/hard/gemini-3-flash-preview_high/implicit_zs/0327_fixed_400_rerun.json,ours_memory/output/singleturn/api/gpt-4o-mini/memory_api/hard/gemini-3-flash-preview_high/implicit_zs/0327_fixed_400_rerun.json
vanilla_llm,api,,diag-apilist,singleturn-query,hard,gemini-3-flash-preview-high,gemini-3-flash-preview,high,imp-zs,0328_fixed_400_rerun.json,vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gemini-3-flash-preview-high/imp-zs,400,ok,,230,454,170,0.3362573099415205,0.575,0.42435424354243545,2,/data/minseo/experiments4/extended_schema/vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gemini-3-flash-preview-high/imp-zs/0328_fixed_400_rerun.json,vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gemini-3-flash-preview-high/imp-zs/0328_fixed_400_rerun.json
vanilla_llm,api,,diag-apilist,singleturn-query,hard,gemini-3-flash-preview-medium,gemini-3-flash-preview,medium,imp-zs,0328_fixed_400_rerun.json,vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gemini-3-flash-preview-medium/imp-zs,400,ok,,219,450,181,0.3273542600896861,0.5475,0.40972871842843783,1,/data/minseo/experiments4/extended_schema/vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gemini-3-flash-preview-medium/imp-zs/0328_fixed_400_rerun.json,vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gemini-3-flash-preview-medium/imp-zs/0328_fixed_400_rerun.json
rag,api,,diag-apilist,singleturn-query,hard,gpt-5_low,gpt-5,low,implicit_zs,0330_fixed_400_rerun.json,RAG/output/singleturn/api/diag-apilist/hard/singleturn-query/gpt-5_low/implicit_zs,400,ok,,205,454,195,0.3110773899848255,0.5125,0.3871576959395656,46,/data/minseo/experiments4/extended_schema/RAG/output/singleturn/api/diag-apilist/hard/singleturn-query/gpt-5_low/implicit_zs/0330_fixed_400_rerun.json,RAG/output/singleturn/api/diag-apilist/hard/singleturn-query/gpt-5_low/implicit_zs/0330_fixed_400_rerun.json
vanilla_llm,api,,diag-apilist,singleturn-query,hard,gpt-5-minimal,gpt-5,minimal,imp-zs,0327_fixed_400_rerun.json,vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gpt-5-minimal/imp-zs,400,ok,,254,742,146,0.25502008032128515,0.635,0.3638968481375358,42,/data/minseo/experiments4/extended_schema/vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gpt-5-minimal/imp-zs/0327_fixed_400_rerun.json,vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gpt-5-minimal/imp-zs/0327_fixed_400_rerun.json
ours_memory,vllm,gpt-4o-mini,memory_api,singleturn,hard,deepseek-ai_DeepSeek-R1-Distill-Llama-8B_high,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,high,implicit_zs,0328_fixed_400_rerun.json,ours_memory/output/singleturn/vllm/gpt-4o-mini/memory_api/hard/deepseek-ai_DeepSeek-R1-Distill-Llama-8B_high/implicit_zs,400,ok,,164,426,236,0.27796610169491526,0.41,0.33131313131313134,131,/data/minseo/experiments4/extended_schema/ours_memory/output/singleturn/vllm/gpt-4o-mini/memory_api/hard/deepseek-ai_DeepSeek-R1-Distill-Llama-8B_high/implicit_zs/0328_fixed_400_rerun.json,ours_memory/output/singleturn/vllm/gpt-4o-mini/memory_api/hard/deepseek-ai_DeepSeek-R1-Distill-Llama-8B_high/implicit_zs/0328_fixed_400_rerun.json
langmem,api,gpt-4o-mini,memory_api,singleturn,hard,gpt-5_low,gpt-5,low,implicit_zs,0330_fixed_400_rerun.json,langmem/output/singleturn/api/gpt-4o-mini/memory_api/hard/gpt-5_low/implicit_zs,400,ok,,119,271,281,0.30512820512820515,0.2975,0.3012658227848102,105,/data/minseo/experiments4/extended_schema/langmem/output/singleturn/api/gpt-4o-mini/memory_api/hard/gpt-5_low/implicit_zs/0330_fixed_400_rerun.json,langmem/output/singleturn/api/gpt-4o-mini/memory_api/hard/gpt-5_low/implicit_zs/0330_fixed_400_rerun.json
vanilla_llm,api,,diag-apilist,singleturn-query,hard,gemini-3-flash-preview-minimal,gemini-3-flash-preview,minimal,imp-zs,0327_fixed_400_rerun.json,vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gemini-3-flash-preview-minimal/imp-zs,400,ok,,133,473,267,0.21947194719471946,0.3325,0.2644135188866799,0,/data/minseo/experiments4/extended_schema/vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gemini-3-flash-preview-minimal/imp-zs/0327_fixed_400_rerun.json,vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gemini-3-flash-preview-minimal/imp-zs/0327_fixed_400_rerun.json
vanilla_llm,vllm,,diag-apilist,singleturn-query,hard,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,,imp-zs,0327_fixed_400_rerun.json,vanillaLLM/output/singleturn/vllm/diag-apilist/hard/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Llama-8B/imp-zs,400,ok,,172,767,228,0.18317358892438765,0.43,0.256908140403286,47,/data/minseo/experiments4/extended_schema/vanillaLLM/output/singleturn/vllm/diag-apilist/hard/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Llama-8B/imp-zs/0327_fixed_400_rerun.json,vanillaLLM/output/singleturn/vllm/diag-apilist/hard/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Llama-8B/imp-zs/0327_fixed_400_rerun.json
vanilla_llm,api,,diag-apilist,singleturn-query,hard,gemini-3-flash-preview-low,gemini-3-flash-preview,low,imp-zs,0328_fixed_400_rerun.json,vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gemini-3-flash-preview-low/imp-zs,400,ok,,118,422,282,0.21851851851851853,0.295,0.251063829787234,0,/data/minseo/experiments4/extended_schema/vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gemini-3-flash-preview-low/imp-zs/0328_fixed_400_rerun.json,vanillaLLM/output/singleturn/api/diag-apilist/hard/singleturn-query/gemini-3-flash-preview-low/imp-zs/0328_fixed_400_rerun.json
vanilla_llm,vllm,,diag-apilist,singleturn-query,hard,google_gemma-3-12b-it,google_gemma-3-12b-it,,imp-zs,0327_fixed_400_rerun.json,vanillaLLM/output/singleturn/vllm/diag-apilist/hard/singleturn-query/google_gemma-3-12b-it/imp-zs,400,ok,,107,359,293,0.2296137339055794,0.2675,0.24711316397228636,36,/data/minseo/experiments4/extended_schema/vanillaLLM/output/singleturn/vllm/diag-apilist/hard/singleturn-query/google_gemma-3-12b-it/imp-zs/0327_fixed_400_rerun.json,vanillaLLM/output/singleturn/vllm/diag-apilist/hard/singleturn-query/google_gemma-3-12b-it/imp-zs/0327_fixed_400_rerun.json
