method,source,memory_model,context_type,query_variant,pref_type,action_model_raw,action_model_base,reasoning_effort,prompt_name,file_name,group_key,query_count,status,error,overall_tp,overall_fp,overall_fn,overall_precision,overall_recall,overall_f1,pref_em,pref_em_count,n_examples,nonpref_tp,nonpref_fp,nonpref_fn,nonpref_precision,nonpref_recall,nonpref_f1,parsing_fail_count,output_path,rel_path
ours_memory,api,gpt-4o-mini,memory_api,multiturn,hard,gemini-3-flash-preview_high,gemini-3-flash-preview,high,implicit_zs,0327_fixed_400_rerun.json,ours_memory/output/multiturn/api/gpt-4o-mini/memory_api/hard/gemini-3-flash-preview_high/implicit_zs,400,ok,,1231,297,91,0.805628272251309,0.9311649016641452,0.8638596491228071,0.3025,121,400,920,2,2,0.9978308026030369,0.9978308026030369,0.9978308026030369,0,/data/minseo/experiments4/extended_schema/ours_memory/output/multiturn/api/gpt-4o-mini/memory_api/hard/gemini-3-flash-preview_high/implicit_zs/0327_fixed_400_rerun.json,ours_memory/output/multiturn/api/gpt-4o-mini/memory_api/hard/gemini-3-flash-preview_high/implicit_zs/0327_fixed_400_rerun.json
mem0,api,,memory_api,multiturn,hard,gemini-3-flash-preview_high,gemini-3-flash-preview,high,implicit_zs,0330_fixed_400_rerun.json,mem0/output/multiturn/api/memory_api/hard/gemini-3-flash-preview_high/implicit_zs,400,ok,,927,0,395,1.0,0.7012102874432677,0.8243663850600267,0.0575,23,400,904,0,18,1.0,0.9804772234273319,0.9901423877327492,8,/data/minseo/experiments4/extended_schema/mem0/output/multiturn/api/memory_api/hard/gemini-3-flash-preview_high/implicit_zs/0330_fixed_400_rerun.json,mem0/output/multiturn/api/memory_api/hard/gemini-3-flash-preview_high/implicit_zs/0330_fixed_400_rerun.json
mem0,api,,memory_api,multiturn,hard,gemini-3-flash-preview_minimal,gemini-3-flash-preview,minimal,implicit_zs,0329_fixed_400_rerun.json,mem0/output/multiturn/api/memory_api/hard/gemini-3-flash-preview_minimal/implicit_zs,400,ok,,922,0,400,1.0,0.697428139183056,0.82174688057041,0.0,0,400,922,0,0,1.0,1.0,1.0,0,/data/minseo/experiments4/extended_schema/mem0/output/multiturn/api/memory_api/hard/gemini-3-flash-preview_minimal/implicit_zs/0329_fixed_400_rerun.json,mem0/output/multiturn/api/memory_api/hard/gemini-3-flash-preview_minimal/implicit_zs/0329_fixed_400_rerun.json
ours_memory,api,gpt-4o-mini,memory_api,multiturn,hard,gpt-5_high,gpt-5,high,implicit_zs,0327_fixed_400_rerun.json,ours_memory/output/multiturn/api/gpt-4o-mini/memory_api/hard/gpt-5_high/implicit_zs,400,ok,,1103,265,219,0.8062865497076024,0.8343419062027232,0.8200743494423793,0.47,188,400,824,96,98,0.8956521739130435,0.8937093275488069,0.8946796959826276,1,/data/minseo/experiments4/extended_schema/ours_memory/output/multiturn/api/gpt-4o-mini/memory_api/hard/gpt-5_high/implicit_zs/0327_fixed_400_rerun.json,ours_memory/output/multiturn/api/gpt-4o-mini/memory_api/hard/gpt-5_high/implicit_zs/0327_fixed_400_rerun.json
mem0,api,,memory_api,multiturn,hard,gemini-3-flash-preview_low,gemini-3-flash-preview,low,implicit_zs,0330_fixed_400_rerun.json,mem0/output/multiturn/api/memory_api/hard/gemini-3-flash-preview_low/implicit_zs,400,ok,,894,0,428,1.0,0.6762481089258698,0.8068592057761732,0.0,0,400,894,0,28,1.0,0.9696312364425163,0.9845814977973568,12,/data/minseo/experiments4/extended_schema/mem0/output/multiturn/api/memory_api/hard/gemini-3-flash-preview_low/implicit_zs/0330_fixed_400_rerun.json,mem0/output/multiturn/api/memory_api/hard/gemini-3-flash-preview_low/implicit_zs/0330_fixed_400_rerun.json
langmem,api,gpt-4o-mini,memory_api,multiturn,hard,gemini-3-flash-preview_minimal,gemini-3-flash-preview,minimal,implicit_zs,0329_fixed_400_rerun.json,langmem/output/multiturn/api/gpt-4o-mini/memory_api/hard/gemini-3-flash-preview_minimal/implicit_zs,400,ok,,956,151,366,0.8635953026196929,0.7231467473524962,0.7871552079044875,0.0825,33,400,921,1,1,0.9989154013015185,0.9989154013015185,0.9989154013015185,0,/data/minseo/experiments4/extended_schema/langmem/output/multiturn/api/gpt-4o-mini/memory_api/hard/gemini-3-flash-preview_minimal/implicit_zs/0329_fixed_400_rerun.json,langmem/output/multiturn/api/gpt-4o-mini/memory_api/hard/gemini-3-flash-preview_minimal/implicit_zs/0329_fixed_400_rerun.json
langmem,api,gpt-4o-mini,memory_api,multiturn,hard,gpt-5_minimal,gpt-5,minimal,implicit_zs,0329_fixed_400_rerun.json,langmem/output/multiturn/api/gpt-4o-mini/memory_api/hard/gpt-5_minimal/implicit_zs,400,ok,,897,67,425,0.9304979253112033,0.6785173978819969,0.7847769028871391,0.0275,11,400,882,40,40,0.9566160520607375,0.9566160520607375,0.9566160520607375,0,/data/minseo/experiments4/extended_schema/langmem/output/multiturn/api/gpt-4o-mini/memory_api/hard/gpt-5_minimal/implicit_zs/0329_fixed_400_rerun.json,langmem/output/multiturn/api/gpt-4o-mini/memory_api/hard/gpt-5_minimal/implicit_zs/0329_fixed_400_rerun.json
vanilla_llm,api,,diag-apilist,multiturn-query,hard,gpt-5-minimal,gpt-5,minimal,imp-zs,0327_fixed_400_rerun.json,vanillaLLM/output/multiturn/api/diag-apilist/hard/multiturn-query/gpt-5-minimal/imp-zs,400,ok,,940,150,382,0.8623853211009175,0.7110438729198184,0.7794361525704808,0.0375,15,400,870,18,52,0.9797297297297297,0.9436008676789588,0.9613259668508287,1,/data/minseo/experiments4/extended_schema/vanillaLLM/output/multiturn/api/diag-apilist/hard/multiturn-query/gpt-5-minimal/imp-zs/0327_fixed_400_rerun.json,vanillaLLM/output/multiturn/api/diag-apilist/hard/multiturn-query/gpt-5-minimal/imp-zs/0327_fixed_400_rerun.json
mem0,api,,memory_api,multiturn,hard,gpt-5_minimal,gpt-5,minimal,implicit_zs,0329_fixed_400_rerun.json,mem0/output/multiturn/api/memory_api/hard/gpt-5_minimal/implicit_zs,400,ok,,869,59,453,0.9364224137931034,0.6573373676248109,0.7724444444444445,0.0075,3,400,866,56,56,0.9392624728850325,0.9392624728850325,0.9392624728850325,0,/data/minseo/experiments4/extended_schema/mem0/output/multiturn/api/memory_api/hard/gpt-5_minimal/implicit_zs/0329_fixed_400_rerun.json,mem0/output/multiturn/api/memory_api/hard/gpt-5_minimal/implicit_zs/0329_fixed_400_rerun.json
langmem,api,gpt-4o-mini,memory_api,multiturn,hard,gpt-5_low,gpt-5,low,implicit_zs,0330_fixed_400_rerun.json,langmem/output/multiturn/api/gpt-4o-mini/memory_api/hard/gpt-5_low/implicit_zs,400,ok,,926,155,396,0.8566142460684552,0.7004538577912254,0.7707032875572201,0.0875,35,400,868,54,54,0.9414316702819957,0.9414316702819957,0.9414316702819958,0,/data/minseo/experiments4/extended_schema/langmem/output/multiturn/api/gpt-4o-mini/memory_api/hard/gpt-5_low/implicit_zs/0330_fixed_400_rerun.json,langmem/output/multiturn/api/gpt-4o-mini/memory_api/hard/gpt-5_low/implicit_zs/0330_fixed_400_rerun.json
mem0,api,,memory_api,multiturn,hard,gpt-5_low,gpt-5,low,implicit_zs,0330_fixed_400_rerun.json,mem0/output/multiturn/api/memory_api/hard/gpt-5_low/implicit_zs,400,ok,,854,69,468,0.9252437703141928,0.6459909228441755,0.7608017817371937,0.0,0,400,854,68,68,0.9262472885032538,0.9262472885032538,0.9262472885032538,0,/data/minseo/experiments4/extended_schema/mem0/output/multiturn/api/memory_api/hard/gpt-5_low/implicit_zs/0330_fixed_400_rerun.json,mem0/output/multiturn/api/memory_api/hard/gpt-5_low/implicit_zs/0330_fixed_400_rerun.json
